DATE,Block,Plot,Rotation,Quadrat,Reading,W460,W510,W560,W610,W660,W710,W760,W810,
6/29/2018,2,27,S2,2704,27043,3.91,4.7,5.65,6.03,6.55,8.79,12.14,14.28,
6/29/2018,2,27,S2,2704,27044,3.83,4.49,5.3,5.62,5.99,8.19,11.21,12.38,
6/29/2018,2,27,S2,2703,27033,3.9,4.67,5.46,6.14,6.76,8.43,10.99,12.89,
6/29/2018,2,27,S2,2703,27034,3.98,4.69,5.35,5.67,6.24,7.95,10.76,12.24,
6/29/2018,2,27,S2,2702,27023,3.95,4.69,5.44,6.13,6.32,8.44,11.22,12.69,
6/29/2018,2,27,S2,2702,27024,4.24,4.93,5.59,6.24,6.57,8.59,11.08,12.31,
6/29/2018,2,27,S2,2701,27013,3.63,4.16,4.51,5.28,5.43,6.72,8.22,9.19,
6/29/2018,2,27,S2,2701,27014,3.42,3.89,4.38,4.86,4.93,6.46,8.29,9.28,
6/29/2018,2,23,S3,2301,23013,5.42,6.68,7.73,9.34,9.41,12.09,15.76,17.09,
6/29/2018,2,23,S3,2301,23014,5.5,6.62,7.69,8.5,9.31,11.14,13.96,16.1,
6/29/2018,2,23,S3,2302,23023,7.98,9.37,10.71,13.25,13.23,16.29,20.03,21.41,
6/29/2018,2,23,S3,2302,23024,8.07,9.52,10.91,11.73,12.9,15.03,18.11,20.48,
6/29/2018,2,23,S3,2303,23033,7.69,9.04,10.34,11.82,12.38,15.02,19.34,20.82,
6/29/2018,2,23,S3,2303,23034,6.27,7.4,8.81,9.11,10.09,12.6,16.4,18.31,
6/29/2018,2,23,S3,2304,23043,5.2,6.09,6.95,8.28,8.14,10.57,14.39,14.97,
6/29/2018,2,23,S3,2304,23044,5.26,6.22,7.29,8.05,8.24,10.74,15.02,16,
6/29/2018,2,23,S3,2305,23053,4.08,4.72,5.35,6.08,6.08,7.95,9.72,10.66,
6/29/2018,2,23,S3,2305,23054,4.27,4.96,5.63,6.32,6.45,8.36,10.7,11.67,
6/29/2018,2,23,S3,2306,23063,4.08,4.74,5.34,6.28,6.4,8.15,9.9,11.04,
6/29/2018,2,23,S3,2306,23064,4.28,5.03,5.8,6.48,6.84,8.69,11.23,12.25,
6/29/2018,2,23,S3,2307,23073,4.34,5.28,6.16,7.19,7.13,9.8,13.39,14.26,
6/29/2018,2,23,S3,2307,23074,4.65,5.6,6.51,7.2,7.66,9.7,12.74,14.28,
6/29/2018,2,23,S3,2308,23083,5.14,6.15,7.12,8.2,8.41,10.63,13.46,14.85,
6/29/2018,2,23,S3,2308,23084,4.98,5.93,6.9,7.86,8.06,10.28,13.48,14.63,
6/29/2018,2,23,S3,2309,23093,6.39,7.66,8.86,10.41,10.78,13.49,17.21,18.37,
6/29/2018,2,23,S3,2309,23094,6.74,8.14,9.28,11.15,11.51,13.9,17.71,19.01,
6/29/2018,2,23,S3,2310,23103,6.44,8.11,9.77,11.29,11.53,15.32,22.45,23.55,
6/29/2018,2,23,S3,2310,23104,6.76,8.35,10.09,10.81,11.89,15.17,20.84,23.08,
6/29/2018,1,19,S2,1911,19113,4.05,5.08,6.05,7.44,8,11.92,17.45,17.79,
6/29/2018,1,19,S2,1911,19114,4.63,5.68,6.57,7.33,7.68,10,13.7,14.58,
6/29/2018,1,19,S2,1912,19123,4.05,4.92,5.77,6.19,6.73,8.9,11.95,13.07,
6/29/2018,1,19,S2,1912,19124,4.5,5.5,6.2,6.94,7.31,9.25,12.16,12.91,
6/29/2018,1,19,S2,1913,19133,3.93,4.73,5.44,6,6.21,8.33,11.45,12.18,
6/29/2018,1,19,S2,1913,19134,4.13,5.03,5.7,6.54,6.59,8.71,12.01,12.16,
6/29/2018,1,19,S2,1914,19143,4.32,5.22,5.85,6.63,7.16,8.83,10.69,12.09,
6/29/2018,1,19,S2,1914,19144,4.3,5.2,5.77,6.79,6.93,8.94,11.61,12.15,
6/29/2018,1,19,S2,1915,19153,4.74,5.72,6.34,7.13,7.81,9.34,11.06,12.64,
6/29/2018,1,19,S2,1915,19154,4.71,5.7,6.25,7.46,7.55,9.73,12.18,12.8,
6/29/2018,1,19,S2,1916,19163,4.27,5.3,6.18,7.15,7.39,10.15,13.45,14.27,
6/29/2018,1,19,S2,1916,19164,4.61,5.6,6.42,7.03,7.52,9.71,12.92,14.01,
6/29/2018,1,19,S2,1917,19173,4.15,5.26,6.42,7.43,7.77,10.98,15.7,16.39,
6/29/2018,1,19,S2,1917,19174,4.29,5.31,6.26,6.95,7.26,9.71,13.39,14.5,
6/29/2018,1,19,S2,1918,19183,4.71,5.86,6.78,7.75,8.22,10.62,13.82,15.06,
6/29/2018,1,19,S2,1918,19184,5.03,6.07,6.97,7.85,8.01,10.49,13.85,14.77,
6/29/2018,1,19,S2,1919,19193,4.57,5.7,6.61,8.04,8.47,11.04,14.38,15.4,
6/29/2018,1,19,S2,1919,19194,4.72,5.73,6.57,7.43,7.74,9.83,12.97,14.36,
6/29/2018,1,19,S2,1920,19203,3.77,4.72,5.45,6.62,6.91,9.61,13.46,14.67,
6/29/2018,1,19,S2,1920,19204,3.87,4.78,5.52,6.4,6.81,9.27,12.82,14.51,
6/29/2018,1,14,S4,1420,14203,5.69,6.86,7.65,8.39,8.82,10.75,14.22,15.45,
6/29/2018,1,14,S4,1420,14204,6.13,7.44,8.39,8.86,9.66,11.57,15.2,16.63,
6/29/2018,1,14,S4,1419,14193,5.99,7.28,8.35,8.94,9.52,11.46,14.47,16.17,
6/29/2018,1,14,S4,1419,14194,7.33,8.91,9.74,10.75,11.58,13.36,16.73,18.04,
6/29/2018,1,14,S4,1418,14183,5.57,6.73,7.54,7.92,8.84,10.09,12.29,14.16,
6/29/2018,1,14,S4,1418,14184,6.49,8.01,8.85,10.2,10.7,12.79,16.41,17.36,
6/29/2018,1,14,S4,1417,14173,5.02,6.04,6.81,7.29,7.71,9.39,12,13.13,
6/29/2018,1,14,S4,1417,14174,5.61,6.77,7.64,8.45,8.82,10.86,14.29,15.46,
6/29/2018,1,14,S4,1416,14163,4.78,5.77,6.46,6.82,7.29,8.95,11.41,12.64,
6/29/2018,1,14,S4,1416,14164,5.17,6.29,7.18,7.7,8.32,10.39,13.85,14.94,
6/29/2018,1,14,S4,1415,14153,4.41,5.32,5.99,6.42,7,8.56,11.46,12.2,
6/29/2018,1,14,S4,1415,14154,4.47,5.49,6.25,6.96,7.13,9.27,12.88,13.27,
6/29/2018,1,14,S4,1414,14143,4.05,4.92,5.61,5.96,6.16,7.89,10.45,11.51,
6/29/2018,1,14,S4,1414,14144,4.58,5.61,6.24,6.95,7.2,9.17,12.36,13.11,
6/29/2018,1,14,S4,1413,14133,4.02,4.83,5.41,5.97,6.1,7.76,10.12,10.91,
6/29/2018,1,14,S4,1413,14134,4.08,5.01,5.66,6.34,6.2,8.42,11.53,11.92,
6/29/2018,1,14,S4,1412,14123,3.84,4.67,5.35,5.8,5.85,7.93,10.96,11.4,
6/29/2018,1,14,S4,1412,14124,4.07,4.93,5.52,6.08,6.13,8.03,11.16,11.72,
6/29/2018,1,14,S4,1411,14113,4.12,5.03,5.66,6.31,6.4,8.19,11.1,11.86,
6/29/2018,1,14,S4,1411,14114,4.26,5.32,6.09,6.48,7.1,9.02,12.31,13.27,
6/29/2018,1,11,S3,1110,11103,4.07,5.03,5.73,6.5,6.62,8.56,11.35,12.12,
6/29/2018,1,11,S3,1110,11104,4.04,4.96,5.63,5.97,6.49,8.12,10.57,11.96,
6/29/2018,1,11,S3,1109,11093,4.44,5.49,6.15,6.97,7.24,9.1,11.49,12.74,
6/29/2018,1,11,S3,1109,11094,4.35,5.29,5.91,6.44,6.78,8.32,10.03,11.19,
6/29/2018,1,11,S3,1108,11083,4.51,5.56,6.32,6.93,7.46,9.15,11.71,13.24,
6/29/2018,1,11,S3,1108,11084,4.29,5.36,6.15,6.73,6.86,9.04,11.78,12.78,
6/29/2018,1,11,S3,1107,11073,4.71,5.85,6.64,7.43,7.85,9.87,13.01,14.14,
6/29/2018,1,11,S3,1107,11074,4.7,5.85,6.58,7.63,8.03,9.78,12.46,13.43,
6/29/2018,1,11,S3,1106,11063,5.13,6.53,7.7,8.62,8.46,12.04,17.47,18.29,
6/29/2018,1,11,S3,1106,11064,4.81,5.98,6.98,7.23,7.93,9.72,13.13,14.76,
6/29/2018,1,11,S3,1105,11053,6.46,8.1,9.14,10.79,11.01,13.64,17.28,18.47,
6/29/2018,1,11,S3,1105,11054,6.95,8.47,9.25,9.82,11.03,11.91,13.62,16,
6/29/2018,1,11,S3,1104,11043,7.22,8.92,9.83,11.63,12.04,14.62,17.78,19.26,
6/29/2018,1,11,S3,1104,11044,8.12,10,10.78,12.46,13.4,14.81,17.24,19.28,
6/29/2018,1,11,S3,1103,11033,6.57,8.14,9.16,10.5,10.89,13.4,17.04,18.58,
6/29/2018,1,11,S3,1103,11034,7.06,8.8,9.88,11.1,11.73,13.97,17.89,19.83,
6/29/2018,1,11,S3,1102,11023,7.08,8.73,9.63,10.67,11.46,13.51,17.06,18.78,
6/29/2018,1,11,S3,1102,11024,7.14,8.83,9.77,10.79,11.72,13.72,17.58,19.09,
6/29/2018,1,11,S3,1101,11013,6.86,8.49,9.31,10.41,11.3,13.08,15.18,17.21,
6/29/2018,1,11,S3,1101,11014,6.74,8.46,9.37,11.04,11.44,13.72,16.61,18.31,
6/29/2018,3,32,S4,3220,32203,5.01,6.21,7.19,7.6,8.96,10.36,12.98,14.29,
6/29/2018,3,32,S4,3220,32204,5.12,6.32,7.13,7.6,8.91,9.82,12.16,13.63,
6/29/2018,3,32,S4,3219,32193,5.5,7.01,8.21,9.17,10.73,12.43,16.07,17.29,
6/29/2018,3,32,S4,3219,32194,5.84,7.29,8.32,9.01,10.52,12.22,15.78,17.09,
6/29/2018,3,32,S4,3218,32183,6.24,7.8,8.76,9.93,11.45,12.56,15.12,16.17,
6/29/2018,3,32,S4,3218,32184,6.31,7.88,8.86,9.61,11.2,12.64,15.86,16.73,
6/29/2018,3,32,S4,3217,32173,6.17,7.74,8.75,9.86,11.54,12.79,15.64,16.82,
6/29/2018,3,32,S4,3217,32174,6.44,7.94,8.82,9.78,11.23,12.45,14.99,16.04,
6/29/2018,3,32,S4,3216,32163,6.82,8.48,9.52,10.8,12.35,13.97,16.64,17.96,
6/29/2018,3,32,S4,3216,32164,7.42,9.14,10.06,10.99,12.98,14.22,16.73,18.09,
6/29/2018,3,32,S4,3215,32153,7,8.78,9.95,11.62,13.1,14.83,17.3,19.09,
6/29/2018,3,32,S4,3215,32154,7.9,9.64,10.63,11.68,13.32,15.08,17.26,18.85,
6/29/2018,3,32,S4,3214,32143,7.42,9.17,10.35,11.5,12.77,14.48,16.9,18.52,
6/29/2018,3,32,S4,3214,32144,8.19,9.97,11.03,12.52,13.67,15.7,18.33,19.34,
6/29/2018,3,32,S4,3213,32133,6.48,8.09,9.08,10.05,11.9,13.07,15.2,16.98,
6/29/2018,3,32,S4,3213,32134,6.43,7.95,8.98,10.06,11.46,13.26,15.56,16.91,
6/29/2018,3,32,S4,3212,32123,4.83,6.08,6.93,7.7,8.89,9.96,11.92,12.89,
6/29/2018,3,32,S4,3212,32124,4.91,6.07,6.79,7.45,8.17,9.14,11.06,12.27,
6/29/2018,3,32,S4,3211,32113,4.54,5.61,6.29,6.9,7.77,8.83,10.89,11.9,
6/29/2018,3,32,S4,3211,32114,4.65,5.72,6.35,6.85,7.84,8.88,10.37,11.16,
6/29/2018,3,35,S2,3511,35113,4.8,5.74,6.52,6.74,8.19,9.51,10.53,12.74,
6/29/2018,3,35,S2,3511,35114,5.36,6.47,7.39,7.79,9.49,10.82,11.81,14.25,
6/29/2018,3,35,S2,3512,35123,4.84,5.78,6.72,7.13,8.27,10.13,11.93,14.11,
6/29/2018,3,35,S2,3512,35124,5.45,6.6,7.72,7.59,9.37,10.82,11.96,14.84,
6/29/2018,3,35,S2,3513,35133,5.21,6.35,7.45,7.45,9.18,11.19,13.37,15.91,
6/29/2018,3,35,S2,3513,35134,5.79,7.08,8.22,8.35,10.1,11.75,13.43,16.2,
6/29/2018,3,35,S2,3514,35143,5.95,7.18,8.31,8.14,10.27,11.67,13.55,16.57,
6/29/2018,3,35,S2,3514,35144,6.25,7.6,8.79,9.03,10.92,12.59,14.13,17.03,
6/29/2018,3,35,S2,3515,35153,4.71,5.81,7.1,6.49,8.29,10.11,12.95,15.55,
6/29/2018,3,35,S2,3515,35154,5.33,6.39,7.41,8.27,9.12,11.31,13.21,14.98,
6/29/2018,3,35,S2,3516,35163,4.76,5.63,6.41,6.54,7.95,9.23,10.36,12.39,
6/29/2018,3,35,S2,3516,35164,4.84,5.67,6.44,7.01,8.12,9.73,11.1,12.77,
6/29/2018,3,35,S2,3517,35173,3.87,4.55,5.29,5.38,6.3,7.69,9.52,11.32,
6/29/2018,3,35,S2,3517,35174,3.84,4.54,5.25,5.76,6.55,8.02,9.69,10.92,
6/29/2018,3,35,S2,3518,35183,3.7,4.36,5.1,5.43,6.06,7.64,9.16,10.27,
6/29/2018,3,35,S2,3518,35184,3.6,4.18,4.84,5.5,5.96,7.79,9.34,10.21,
6/29/2018,3,35,S2,3519,35193,3.94,4.67,5.35,5.5,6.58,7.98,9.39,10.85,
6/29/2018,3,35,S2,3519,35194,4.06,4.88,5.62,6.06,7.09,8.41,9.93,11.57,
6/29/2018,3,35,S2,3520,35203,3.34,3.84,4.24,4.57,5,6.17,7.38,8.54,
6/29/2018,3,35,S2,3520,35204,3.4,3.86,4.35,4.5,4.98,6.1,7.12,8.37,
6/29/2018,3,38,S3,3801,38013,5.85,7.46,8.59,9.79,10.87,13.35,16.81,17.77,
6/29/2018,3,38,S3,3801,38014,6.18,7.83,9.11,9.92,11.44,13.37,16.75,18.36,
6/29/2018,3,38,S3,3802,38023,5.14,6.51,7.6,8.07,9.24,11.72,14.95,16.1,
6/29/2018,3,38,S3,3802,38024,4.95,6.37,7.36,8.56,9.4,11.46,14.55,15.55,
6/29/2018,3,38,S3,3803,38033,4.11,5.24,6.14,7.03,7.56,9.86,12.67,13.44,
6/29/2018,3,38,S3,3803,38034,4.29,5.5,6.38,7.39,8.44,10.05,12.51,13.66,
6/29/2018,3,38,S3,3804,38043,4.05,5.17,6.05,7.33,8,10.31,13.03,13.4,
6/29/2018,3,38,S3,3804,38044,3.98,5.21,6.14,7.08,7.85,9.97,12.64,13.21,
6/29/2018,3,38,S3,3805,38053,4.38,5.59,6.37,7.3,8.43,10.37,12.77,13.37,
6/29/2018,3,38,S3,3805,38054,4.39,5.57,6.37,7.24,8.26,10.07,12.26,13.23,
6/29/2018,3,38,S3,3806,38063,4.68,5.91,6.78,7.71,8.44,10.39,12.98,13.99,
6/29/2018,3,38,S3,3806,38064,4.66,6.02,6.94,7.95,9.22,10.77,13.26,14.35,
6/29/2018,3,38,S3,3807,38073,5.22,6.6,7.62,8.48,9.76,11.66,14.3,15.46,
6/29/2018,3,38,S3,3807,38074,5.35,6.76,7.69,8.95,10.01,11.37,13.45,14.58,
6/29/2018,3,38,S3,3808,38083,6.92,8.77,10.09,10.89,12.83,14.93,18.3,19.55,
6/29/2018,3,38,S3,3808,38084,6.52,8.23,9.56,10.95,12.05,14.75,18.3,19.42,
6/29/2018,3,38,S3,3809,38093,5.74,7.33,8.36,9.35,10.68,12.59,15.08,16.66,
6/29/2018,3,38,S3,3809,38094,5.72,7.23,8.35,9.96,11.15,13.17,15.36,16.43,
6/29/2018,3,38,S3,3810,38103,6.79,8.44,9.51,10.56,12.12,13.86,15.97,17.27,
6/29/2018,3,38,S3,3810,38104,6.74,8.46,9.49,11.14,13.02,14.53,17.36,18.23,
6/29/2018,4,45,S2,4511,45113,4.34,5.87,8.95,7.9,7.49,14.08,30.46,30.45,
6/29/2018,4,45,S2,4511,45114,4.78,6.45,9.54,8.51,8.14,14.22,26.89,28.57,
6/29/2018,4,45,S2,4512,45123,4.97,6.59,10.11,8.18,7.77,14.73,34.57,33.71,
6/29/2018,4,45,S2,4512,45124,5,6.55,9.35,8.88,8.39,14.46,26.48,28.57,
6/29/2018,4,45,S2,4513,45133,4.98,6.65,9.59,8.08,7.99,13.38,28.91,28.5,
6/29/2018,4,45,S2,4513,45134,5.77,7.44,9.68,9.74,9.87,14.36,23.65,24.36,
6/29/2018,4,45,S2,4514,45143,6.12,7.6,9.35,9.2,9.99,13.66,21.58,22.32,
6/29/2018,4,45,S2,4514,45144,6.73,8.45,9.89,10.39,11.4,14.45,19.78,20.73,
6/29/2018,4,45,S2,4515,45153,6.14,7.73,9.19,9.77,10.75,13.77,20.89,21.55,
6/29/2018,4,45,S2,4515,45154,6.43,8.11,9.65,10.04,11.1,14.45,20.27,21.52,
6/29/2018,4,45,S2,4516,45163,6.82,8.6,10.17,10.56,11.76,14.9,22.34,22.32,
6/29/2018,4,45,S2,4516,45164,7.51,9.2,10.37,11.17,12.45,14.91,18.97,19.56,
6/29/2018,4,45,S2,4517,45173,6,7.58,9.31,9.58,10.31,14.15,22.95,22.91,
6/29/2018,4,45,S2,4517,45174,6.26,7.94,9.54,10.08,10.96,14.71,21.81,21.82,
6/29/2018,4,45,S2,4518,45183,6.31,7.9,9.27,9.86,11.46,13.48,18.99,19.79,
6/29/2018,4,45,S2,4518,45184,6.38,7.97,9.25,10.16,11.41,13.82,18.4,18.83,
6/29/2018,4,45,S2,4519,45193,5.3,6.79,8.15,8.34,9.48,12.35,18.78,19.36,
6/29/2018,4,45,S2,4519,45194,6.17,7.62,8.98,9.24,10.44,13.12,17.85,19.14,
6/29/2018,4,45,S2,4520,45203,5.3,6.88,9,8.53,8.92,13.62,25.72,24.96,
6/29/2018,4,45,S2,4520,45204,6.74,8.51,10.18,10.27,11.83,14.57,19.97,21.98,
6/29/2018,4,48,S3,4820,48203,4.57,6.1,8.26,8.18,8.22,12.4,21.3,22.14,
6/29/2018,4,48,S3,4820,48204,4.25,5.87,8.22,8.09,7.51,12.37,20.11,21.66,
6/29/2018,4,48,S3,4819,48193,4.39,5.76,7.64,7.66,7.64,11.44,18.19,19,
6/29/2018,4,48,S3,4819,48194,4.47,6.13,8.32,8.27,8.26,12.92,21.6,21.25,
6/29/2018,4,48,S3,4818,48183,6.67,8.24,9.56,10,11.26,13.91,17.52,18.24,
6/29/2018,4,48,S3,4818,48184,6.49,8.01,9.32,10.27,11.03,13.79,17.08,17.62,
6/29/2018,4,48,S3,4817,48173,6.89,8.46,9.48,9.75,11.45,13.14,16.24,17.14,
6/29/2018,4,48,S3,4817,48174,6.99,8.28,9.24,10.42,11.31,13.49,16.05,16.87,
6/29/2018,4,48,S3,4816,48163,6.73,8.2,9.01,9.84,11.47,12.68,14.6,15.75,
6/29/2018,4,48,S3,4816,48164,6.43,7.82,8.56,10.13,11.23,12.97,14.65,15.29,
6/29/2018,4,48,S3,4815,48153,5.27,6.61,7.46,8.41,9.3,11.25,13.63,14.22,
6/29/2018,4,48,S3,4815,48154,5.37,6.58,7.2,8.39,8.9,11.22,13.24,13.74,
6/29/2018,4,48,S3,4814,48143,6.39,8.04,9.12,9.91,11.9,13.62,15.79,17.54,
6/29/2018,4,48,S3,4814,48144,6.65,8.23,9.22,10.74,12,14.79,17.34,18.07,
6/29/2018,4,48,S3,4813,48133,5.31,6.43,7.1,8.02,8.94,10.53,12.3,13.32,
6/29/2018,4,48,S3,4813,48134,5.61,7.03,8.08,8.89,9.66,11.4,13.96,15.39,
6/29/2018,4,48,S3,4812,48123,7.03,8.85,9.87,11.02,13.17,15.1,17.38,19.3,
6/29/2018,4,48,S3,4812,48124,7.05,8.9,9.96,11.39,13.31,15.78,18.27,19.78,
6/29/2018,4,48,S3,4811,48113,5.15,6.35,7.13,7.78,9.13,10.41,12.07,13.93,
6/29/2018,4,48,S3,4811,48114,5.7,7.25,8.4,9.03,10.62,12.63,15.03,17.15,
6/29/2018,4,49,S4,4910,49103,4.93,6.11,6.92,7.85,8.55,10.56,13.37,13.92,
6/29/2018,4,49,S4,4910,49104,4.73,5.85,6.51,7.58,8.2,9.48,11.01,12.3,
6/29/2018,4,49,S4,4909,49093,6.53,8.18,9.09,11.07,12.84,15.2,17.72,19.27,
6/29/2018,4,49,S4,4909,49094,6.76,8.46,9.46,10.91,13.15,14.98,17.05,18.97,
6/29/2018,4,49,S4,4908,49083,6.85,8.69,9.81,11.36,13.43,15.03,17.32,19.23,
6/29/2018,4,49,S4,4908,49084,7.06,8.97,9.93,11.73,13.67,15.69,17.79,19.49,
6/29/2018,4,49,S4,4907,49073,5.65,7.05,8.01,9.37,10.2,12.55,14.52,15.18,
6/29/2018,4,49,S4,4907,49074,6.12,7.95,8.95,10.21,11.86,13.81,16.4,17.37,
6/29/2018,4,49,S4,4906,49063,5.83,7.28,8.43,9.56,10.46,12.9,15.46,15.83,
6/29/2018,4,49,S4,4906,49064,5.8,7.15,8.11,8.94,10.11,12.23,14.92,15.57,
6/29/2018,4,49,S4,4905,49053,5.88,7.55,8.66,9.73,10.39,13.07,16.79,17.45,
6/29/2018,4,49,S4,4905,49054,5.64,7.2,8.4,8.99,9.96,12.49,16.19,17.24,
6/29/2018,4,49,S4,4904,49043,5.12,6.39,7.32,8.23,8.68,10.81,13.55,14.44,
6/29/2018,4,49,S4,4904,49044,5.11,6.41,7.5,8.15,8.48,11.05,15.29,15.3,
6/29/2018,4,49,S4,4903,49033,5.44,6.85,8.28,8.97,9.28,12.68,16.63,17.66,
6/29/2018,4,49,S4,4903,49034,5.94,7.56,8.68,9.25,11,12.87,15.94,17.71,
6/29/2018,4,49,S4,4902,49023,4.85,6.28,7.8,8.31,8.5,11.59,16.41,17.07,
6/29/2018,4,49,S4,4902,49024,4.66,5.97,7.29,7.57,8.42,10.7,14.12,15.44,
6/29/2018,4,49,S4,4901,49013,3.38,5.41,10.64,7.52,5.77,15.7,40.39,43.74,
6/29/2018,4,49,S4,4901,49014,3.85,6.18,11.99,8.65,6.07,17.46,45.12,47.02,
7/24/2018,1,11,S4,1101,11013,3.04,3.99,5.39,5.07,5.26,9.82,22.74,24.46,
7/24/2018,1,11,S4,1101,11014,3.11,4.01,5.25,5.35,5.45,9.84,21.3,21.92,
7/24/2018,1,11,S4,1102,11023,3.38,4.38,5.68,5.57,6.01,9.77,20.5,22.9,
7/24/2018,1,11,S4,1102,11024,3.64,4.64,5.71,5.81,6.65,9.91,18.96,21.2,
7/24/2018,1,11,S4,1103,11033,3.17,3.94,5.51,5.27,5.14,10.22,24.05,25.02,
7/24/2018,1,11,S4,1103,11034,3.31,4.27,5.75,5.44,5.71,10.37,24.41,26.06,
7/24/2018,1,11,S4,1104,11043,3.32,4.17,6.04,5.51,5.15,11.38,28.97,29.87,
7/24/2018,1,11,S4,1104,11044,3.12,4.14,5.84,5.5,5.45,10.88,26.21,28.24,
7/24/2018,1,11,S4,1105,11053,3.93,5.06,6.51,6.5,6.8,11.47,23.8,26.25,
7/24/2018,1,11,S4,1105,11054,3.55,4.43,6.13,5.87,5.66,11.82,29.93,30.94,
7/24/2018,1,11,S4,1106,11063,3.59,4.68,6.56,5.48,5.96,11.24,26.63,28.06,
7/24/2018,1,11,S4,1106,11064,3.54,4.65,6.66,6.86,6.32,13.08,30.93,32.67,
7/24/2018,1,11,S4,1107,11073,2.58,3.33,4.98,4.23,4.46,9.58,27,28.49,
7/24/2018,1,11,S4,1107,11074,3.16,3.93,5.34,5.23,5.33,10.19,25.26,25.96,
7/24/2018,1,11,S4,1108,11083,4.95,6.04,6.92,7.46,8.31,11.07,16.84,18.84,
7/24/2018,1,11,S4,1108,11084,4.4,5.42,6.46,7.14,7.45,11.23,18.48,20.14,
7/24/2018,1,11,S4,1109,11093,3.31,4.34,6.04,5.77,6.02,10.96,24.68,26.39,
7/24/2018,1,11,S4,1109,11094,3.59,4.56,5.88,6.12,6.51,10.39,20.64,21.8,
7/24/2018,1,11,S4,1110,11103,3.09,4.01,6.18,5.2,4.88,11.48,30.2,31.32,
7/24/2018,1,11,S4,1110,11104,2.95,3.79,5.66,5.01,4.92,10.85,28.05,28.59,
7/24/2018,1,14,S2,1411,14113,2.78,3.64,5.02,4.38,4.71,9.43,25.41,27.63,
7/24/2018,1,14,S2,1411,14114,2.61,3.35,4.78,4.44,4.58,9.32,23.78,25.15,
7/24/2018,1,14,S2,1412,14123,2.7,3.63,5.37,4.4,4.39,10.54,29.81,31.84,
